, #1 World_Heading_Angle [rad] 
0,0.179778
1,0.231023
2,0.285625
3,0.3334
4,0.373963
5,0.407489
6,0.436976
7,0.453505
8,0.467293
9,0.473437
10,0.473689
11,0.471076
12,0.457473
13,0.440458
14,0.414733
15,0.382803
16,0.343843
17,0.297803
18,0.244665
19,0.184976
20,0.15717
21,0.154716
22,0.151901
23,0.148308
24,0.144716
25,0.142295
26,0.139916
27,0.131331
28,0.128883
29,0.12617
30,0.122721
31,0.119271
32,0.115654
33,0.112021
34,0.108389
35,0.104756
36,0.101123
37,0.09749
38,0.093857
39,0.091062
40,0.088403
41,0.082392
42,0.078089
43,0.074985
44,0.071675
45,0.068365
46,0.064794
47,0.061162
48,0.057879
49,0.055013
50,0.052013
51,0.056116
52,0.110012
53,0.158649
54,0.200536
55,0.23574
56,0.264348
57,0.286036
58,0.301708
59,0.311504
60,0.314412
61,0.312565
62,0.304075
63,0.289494
64,0.269017
65,0.241377
66,0.207095
67,0.165983
68,0.117928
69,0.063196
70,0.002418
71,6.259673
72,6.253833
73,6.250986
74,6.248138
75,6.245081
76,6.241499
77,6.237917
78,6.234335
79,6.230753
80,6.227171
81,6.22359
82,6.220008
83,6.216426
84,6.212844
85,6.209262
86,6.20568
87,6.202098
88,6.198516
89,6.194934
90,6.191352
91,6.188649
92,6.186013
93,6.183376
94,6.179682
95,6.209606
96,0.022047
97,0.130962
98,0.239878
99,0.348622
100,0.4577
101,0.566609
102,0.675525
103,0.784446
104,0.89764
105,0.952544
106,1.023215
107,1.087721
108,1.164552
109,1.235218
110,1.305884
111,1.37655
112,1.447216
113,1.517882
114,1.56231
115,1.566583
116,1.568591
117,1.570861
118,1.574668
119,1.578465
120,1.582013
121,1.585561
122,1.589109
123,1.592656
124,1.596204
125,1.599752
126,1.6033
127,1.606848
128,1.610396
129,1.613944
130,1.617492
131,1.62104
132,1.624588
133,1.628136
134,1.631684
135,1.635232
136,1.638779
137,1.64232
138,1.645792
139,1.647572
140,1.649352
141,1.649465
142,1.653013
143,1.656561
144,1.660109
145,1.663657
146,1.667205
147,1.670752
148,1.6743
149,1.677848
150,1.681396
151,1.684944
152,1.688492
153,1.69204
154,1.695587
155,1.699135
156,1.702683
157,1.706231
158,1.709779
159,1.713327
160,1.716874
161,1.720422
162,1.72397
163,1.727518
164,1.731066
165,1.734614
166,1.738162
167,1.741709
168,1.745257
169,1.748805
170,1.752353
171,1.755901
172,1.759449
173,1.762997
174,1.766544
175,1.770092
176,1.77364
177,1.777188
178,1.780736
179,1.784284
180,1.787831
181,1.791379
182,1.794927
183,1.798475
184,1.802023
185,1.803424
186,1.803424
187,1.803424
188,1.803424
189,1.803424
190,1.803424
191,1.803424
192,1.803424
193,1.803424
194,1.803424
195,1.803424
196,1.803424
197,1.803424
198,1.803424
199,1.803424
200,1.803424
201,1.803424
202,1.803424
203,1.803424
204,1.803424
205,1.803424
206,1.803424
207,1.803424
208,1.803424
209,1.803424
210,1.803424
211,1.803424
212,1.803424
213,1.803424
214,1.803424
215,1.803424
216,1.803424
217,1.803424
218,1.803424
219,1.803424
220,1.803424
221,1.803424
222,1.803424
223,1.803424
224,1.803424
225,1.803424
226,1.803424
227,1.803424
228,1.803424
229,1.803424
230,1.803424
231,1.803424
232,1.803424
233,1.803424
234,1.803424
235,1.803424
236,1.803424
237,1.803424
238,1.803424
239,1.803424
240,1.803424
241,1.803424
242,1.803424
243,1.803424
244,1.803424
245,1.803424
246,1.803424
247,1.803424
248,1.803424
249,1.803424
250,1.803424
251,1.803424
252,1.803424
253,1.803424
254,1.803424
255,1.803424
256,1.803424
257,1.803424
258,1.803424
259,1.803424
260,1.803424
261,1.803424
262,1.803424
263,1.803424
264,1.803424
265,1.803424
266,1.803424
267,1.803424
268,1.803424
269,1.803424
270,1.803424
271,1.803424
272,1.803424
273,1.803424
274,1.803424
275,1.803424
276,1.803424
277,1.803424
278,1.803424
279,1.803424
280,1.803424
281,1.803424
282,1.803424
283,1.803424
284,1.803424
285,1.803424
286,1.803424
287,1.803424
288,1.803424
289,1.803424
290,1.803424
291,1.803424
292,1.803424
293,1.803424
294,1.803424
295,1.803424
296,1.803424
297,1.803424
298,1.803424
299,1.803424
300,1.803424
301,1.803424
302,1.803424
303,1.803424
304,1.803424
305,1.803424
306,1.803424
307,1.803424
308,1.803424
309,1.803424
310,1.803424
311,1.803424
312,1.803424
313,1.803424
314,1.803424
315,1.803424
316,1.803424
317,1.803424
318,1.803424
319,1.803424
320,1.803424
321,1.803424
322,1.803424
323,1.803424
324,1.803424
325,1.803424
326,1.803424
327,1.803424
328,1.803424
329,1.803424
330,1.803424
331,1.803424
332,1.803424
333,1.803424
334,1.803424
335,1.803424
336,1.803424
337,1.803424
338,1.803424
339,1.803424
340,1.803424
341,1.803424
342,1.803424
343,1.803424
344,1.803424
345,1.803424
346,1.803424
347,1.803424
348,1.803424
349,1.803424
350,1.803424
351,1.803424
352,1.803424
353,1.803424
354,1.803424
355,1.803424
356,1.803424
357,1.803424
358,1.803424
359,1.803424
360,1.803424
361,1.803424
362,1.803424
363,1.803424
364,1.803424
365,1.803424
366,1.803424
367,1.803424
368,1.803424
369,1.803424
370,1.803424
371,1.803424
372,1.803424
373,1.803424
374,1.803424
375,1.803424
376,1.803424
377,1.803424
378,1.803424
379,1.803424
380,1.803424
381,1.803424
382,1.803424
383,1.803424
384,1.803424
385,1.803424
386,1.803424
387,1.803424
388,1.803424
389,1.803424
390,1.803424
391,1.803424
392,1.803424
393,1.803424
394,1.803424
395,1.803424
396,1.803424
397,1.803424
398,1.803424
399,1.803424
400,1.803424
401,1.803424
402,1.803424
403,1.803424
404,1.803424
405,1.803424
406,1.803424
407,1.803424
408,1.803424
409,1.803424
410,1.803424
411,1.803424
412,1.803424
413,1.803424
414,1.803424
415,1.803424
416,1.803424
417,1.803424
418,1.803424
419,1.803424
420,1.803424
421,1.803424
422,1.803424
423,1.803424
424,1.803424
425,1.803424
426,1.803424
427,1.803424
428,1.803424
429,1.803424
430,1.803424
431,1.803424
432,1.803424
433,1.803424
434,1.803424
435,1.803424
436,1.803424
437,1.803424
438,1.803424
439,1.803424
